"해당 자료는 2022년 01월 03일 추출한 자료입니다. K-apt 시스템은 실시간으로 수정, 변경이 가능한 시스템으로 기존 데이터가 수정 될 수 있으며, 엑셀자료는 단순 참조자료로 활용하여 주시기 바랍니다. 현 시점 정확한 자료는 제공되고 있는 OPENAPI를 참조하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
시도,시군구,읍면,동리,단지코드,단지명,연면적,건축물대장연면적,관리비부과면적,주거전용면적,동수,세대수,전용면적(40이하),전용면적(40초과60이하),전용면적(60초과85이하),전용면적(85초과105이하),전용면적(105초과125이하),전용면적(125초과)
인천광역시,연수구,,동춘동,A40680401,대동,"36,026","26,853","33,322","26,853",9,336,0,0,336,0,0,0
충청남도,논산시,강경읍,산양리,A32090101,금강빌리지,"35,937","30,592","35,936","22,334",3,564,564,0,0,0,0,0
강원도,동해시,,효가동,A24016002,동아더프라임 1단지,"33,401","32,191","32,191","24,407",5,297,0,33,264,0,0,0
부산광역시,해운대구,,우동,A61202009,해운대자이,"164,533","115,926","115,926","89,405",11,"1,059",50,189,627,0,193,0
인천광역시,미추홀구,,숭의동,A40281301,숭의 한화꿈에그린아파트,"49,766","49,455","38,550","30,121",9,405,0,156,249,0,0,0
경기도,하남시,,덕풍동,A46572006,덕풍벽산블루밍,"90,589","84,582","68,613","53,321",9,696,0,232,464,0,0,0
인천광역시,부평구,,삼산동,A40309005,삼산미래타운1단지,"66,414","35,836","50,267","35,836",7,608,0,608,0,0,0,0
경상남도,진주시,,평거동,A66099105,평거주공1차,"17,845","16,146","17,695","14,157",7,340,240,100,0,0,0,0
전라남도,영암군,삼호읍,용앙리,A52689703,대불금호아파트,"52,798","46,987","46,980","38,228",6,682,132,550,0,0,0,0
서울특별시,마포구,,신수동,A12185606,마포신촌삼익아파트,"47,625","30,027","40,277","30,027",4,391,0,183,160,0,48,0
경기도,용인수지구,,죽전동,A44816005,내대지마을주공5단지,"17,645","17,028","17,529","9,637",3,225,113,112,0,0,0,0
경상북도,경산시,,사동,A71277602,사동휴먼시아1단지,"80,032","66,710","79,253","43,493",10,896,176,720,0,0,0,0
경기도,고양덕양구,,주교동,A41281001,주교우림루미아트,"23,491","18,406","18,321","13,816",3,163,0,0,163,0,0,0
인천광역시,남동구,,구월동,A40576101,구월 힐스테이트&롯데캐슬골드,"856,257","835,259","619,426","458,730",60,"5,076",0,557,"3,070",0,"1,093",356
서울특별시,강북구,,미아동,A14272305,벽산라이브파크,"264,005","130,871","167,527","130,871",19,"1,585",0,576,648,0,361,0
경기도,평택시,,비전동,A45072407,동아모란,"25,189","18,448","24,612","18,448",3,258,0,130,128,0,0,0
서울특별시,서초구,,서초동,A13772801,서초현대아파트,"44,202","43,266","30,367","23,751",2,299,0,120,105,0,74,0
경기도,시흥시,,정왕동,A42978807,시화한신,"39,489","36,232","36,932","28,824",10,406,0,180,226,0,0,0
서울특별시,도봉구,,방학동,A13276414,방학신동아3단지,"23,132","17,821","23,143","17,821",3,210,0,0,210,0,0,0
인천광역시,부평구,,산곡동,A40383301,산곡2차현대,"24,587","18,849","19,921","15,453",1,199,0,99,50,0,50,0
대구광역시,달서구,,도원동,A70479407,대곡2단지미리샘마을,"143,426","110,580","142,531","93,155",14,"1,120",0,0,"1,120",0,0,0
경상남도,거제시,,문동동,A65691602,대아푸른솔마을,"27,863","25,547","27,326","21,670",3,292,0,102,190,0,0,0
서울특별시,강서구,,등촌동,A15772901,등촌우성101동,"12,916","8,814","12,495","8,814",1,134,0,8,126,0,0,0
경기도,파주시,,금촌동,A41382602,새꽃마을주공3단지,"76,810","67,704","76,490","47,756",10,"1,167",660,507,0,0,0,0
경기도,수원영통구,,매탄동,A44371608,매탄성일,"71,576","69,080","69,223","47,148",6,990,210,780,0,0,0,0
경기도,남양주시,,호평동,A47278910,호평동원로얄듀크,"85,347","84,872","63,623","50,402",9,593,0,0,593,0,0,0
경기도,고양일산동구,,마두동,A41081005,마두백마마을2단지극동삼환,"136,801","108,396","118,006","98,147",13,806,0,0,0,148,240,418
서울특별시,강남구,,삼성동,A13550701,삼성동중앙하이츠빌리지,"63,733","33,866","63,733","33,866",5,298,0,60,90,0,0,148
경기도,광명시,,소하동,A42386002,소하우림필유,"25,505","24,936","20,089","15,076",1,218,0,136,82,0,0,0
경기도,수원권선구,,권선동,A44172325,권선현대,"88,891","65,970","66,859","48,540",10,809,0,809,0,0,0,0
서울특별시,송파구,,마천동,A13812002,마천금호,"25,233","14,373","17,474","14,373",1,199,0,100,99,0,0,0
강원도,인제군,인제읍,상동리,A25280601,내설악아파트,"15,020","11,629","11,633","11,629",2,162,0,82,80,0,0,0
경기도,포천시,소흘읍,송우리,A48782304,포천영화아이닉스아파트,"54,247","43,481","43,481","37,870",4,310,0,0,0,0,310,0
서울특별시,노원구,,상계동,A13982604,상계보람,"294,983","275,535","293,094","212,710",21,"3,315",0,"1,335","1,980",0,0,0
경상북도,포항북구,,우현동,A79175709,대동우방타운,"81,169","75,748","75,731","57,687",8,698,0,304,274,0,0,120
경상북도,김천시,,신음동,A74075909,신음2차현대아파트,"45,222","38,888","38,888","31,971",4,440,0,240,120,80,0,0
인천광역시,계양구,,계산동,A40780702,계산 서해그린3차 아파트,"40,074","30,270","39,669","30,270",6,498,0,462,36,0,0,0
경기도,양주시,백석읍,오산리,A48283514,백석한승아파트,"58,018","53,265","56,025","42,345",6,499,0,0,499,0,0,0
충청남도,아산시,신창면,남성리,A33688203,아산 한미금강아파트,"24,144","23,698","21,881","16,657",2,300,0,300,0,0,0,0
광주광역시,광산구,,산월동,A50630506,첨단호반3-3차,"86,715","70,672","70,630","54,797",10,700,0,0,700,0,0,0
전라북도,전주덕진구,,고랑동,A56134001,고랑동 명성,"23,214","22,505","20,897","15,523",2,297,75,222,0,0,0,0
충청남도,천안서북구,,쌍용동,A33109010,월봉벽산태영,"107,072","78,673","83,791","66,753",12,810,0,0,810,0,0,0
서울특별시,성북구,,안암동3가,A13607301,안암삼익,"29,564","28,160","29,564","28,160",3,204,0,0,0,108,0,96
인천광역시,부평구,,삼산동,A40309101,부평삼산엠코타운,"122,157","88,443","88,443","68,565",9,708,0,144,240,0,324,0
충청남도,홍성군,홍성읍,옥암리,A35080813,홍성옥암 코오롱하늘채 아파트,"63,254","63,472","63,254","49,031",13,569,0,0,509,0,60,0
경기도,수원팔달구,,인계동,A44277304,한화꿈에그린파크,"58,577","35,830","56,334","28,065",3,212,0,0,0,0,34,178
인천광역시,남동구,,만수동,A40574403,만수 주공11단지 아파트,"76,481","70,430","75,546","54,118",11,902,119,583,200,0,0,0
경기도,남양주시,,평내동,A47293511,평내효성,"76,288","58,344","63,133","49,481",7,607,0,196,317,0,94,0
울산광역시,울주군,범서읍,구영리,A68976335,구영주공2차,"31,894","31,753","31,753","19,088",6,407,0,407,0,0,0,0
